genre_category,artist_genres
Rock,"garage rock, modern rock, permanent wave, rock, sheffield indie"
Hip-Hop,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
Hip-Hop,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
International,"funk, indie r&b, motown, quiet storm, soul"
International,"funk carioca, pop nacional"
International,"funk carioca, funk pop, pop lgbtq+ brasileira, pop nacional"
International,"funk carioca, funk pop, pagode baiano, pop, pop nacional"
International,"funk carioca, funk pop"
International,"funk carioca, funk paulista"
International,"funk carioca, funk ostentacao, funk paulista"
International,"funk carioca, funk mtg, funk ostentacao, funk paulista"
International,"funk carioca, funk mtg"
International,"funk carioca, funk das antigas, funk pop"
International,"funk carioca, funk das antigas"
International,"funk carioca, funk consciente, funk ostentacao, funk paulista"
International,funk carioca
International,"funk bh, funk carioca, funk mtg, funk ostentacao"
International,"funk 150 bpm, funk carioca, pop lgbtq+ brasileira"
International,"funk 150 bpm, funk carioca"
International,"french hip hop, pop urbaine, rap marseille"
International,"french hip hop, pop urbaine, rap francais, rap marseille"
International,"french hip hop, pop urbaine, rap francais"
International,"french hip hop, pop urbaine, rap conscient"
International,"french hip hop, pop urbaine"
International,"french hip hop, old school rap francais, pop urbaine, rap conscient"
International,"frauenrap, german hip hop, kosovan pop, romanian pop"
International,"frauenrap, german hip hop, german pop, german singer-songwriter"
International,"frauenrap, german hip hop, german pop"
International,"frauenrap, german hip hop"
International,"frauenrap, german drill, german hip hop"
International,"francoton, rap marseille"
International,"francoton, french pop"
International,"francoton, french hip hop, rap conscient"
International,"francoton, french hip hop, pop urbaine, rap marseille"
International,"francoton, french hip hop, pop urbaine, rap francais, rap marseille"
International,"francoton, french hip hop, pop urbaine, rap francais"
International,francoton
International,"forro, sertanejo pop"
International,"forro, funk carioca, sertanejo pop"
Rock,"folk-pop, pop, pop rock"
Other,"folk-pop, neo-singer-songwriter"
Other,"folk-pop, neo mellow"
International,"folk-pop, irish pop, pop, uk pop"
Hip-Hop,"florida rap, viral rap"
Hip-Hop,"florida rap, hip hop, melodic rap, miami hip hop, rap, trap"
Hip-Hop,florida rap
International,"flamenco urbano, urbano espanol"
Other,finnish pop
Other,"experimental, experimental pop"
International,"eurovision, israeli pop"
International,"europop, post-teen pop"
International,"eurodance, europop, italo dance"
International,eurodance
Hip-Hop,"escape room, minnesota hip hop, pop, trap queen"
Other,escape room
Rock,"emo, modern rock"
Hip-Hop,"emo rap, underground hip hop"
Hip-Hop,"emo rap, sad rap, vapor trap"
Hip-Hop,"emo rap, rap, trap"
Hip-Hop,"emo rap, miami hip hop, rap, trap, viral rap"
Hip-Hop,"emo rap, miami hip hop"
Hip-Hop,"emo rap, lgbtq+ hip hop"
Hip-Hop,"electropop, pop, pop rap"
Dance,"electropop, pop"
Dance,"electropop, norwegian pop, tropical house"
Dance,"electropop, metropopolis, neo-synthpop, shimmer pop"
Dance,"electropop, indie poptimism, pop, pop dance, tropical house, uk pop"
Dance,"electropop, indie poptimism, pop edm, uk pop"
Dance,"electropop, indie poptimism, norwegian pop, uk pop, vapor pop"
Dance,"electropop, indie poptimism, la pop, pop dance, tropical house, uk pop"
Hip-Hop,"electropop, indie pop rap, pop, pop rap"
Dance,"electropop, escape room, pop"
Dance,electropop
Dance,"electronica, indie soul, uk alternative pop, uk pop"
International,"electronica, indie r&b, indie soul, uk alternative pop, uk pop"
Dance,"electro, filter house"
International,"electro latino, latin pop, reggaeton, trap latino"
International,"electro latino, latin hip hop, reggaeton, trap latino"
International,"electro latino, latin hip hop, latin pop, trap latino, tropical"
Dance,"electro house, pop nacional, slap house"
Dance,electro house
Dance,"edm, pop, pop dance, tropical house"
Dance,"edm, pop dance, tropical house"
Dance,"edm, pop dance, progressive electro house, swedish pop"
Dance,"edm, melodic dubstep, pop, pop dance, tropical house"
Dance,"edm, lithuanian edm, lithuanian electronic, pop dance"
Dance,"edm, house, pop, uk dance, uk pop"
Dance,"edm, electropop, pop, pop dance, tropical house"
Dance,"edm, electropop, pop, pop dance, pop edm, tropical house"
Dance,"edm, electronic trap"
Dance,"edm, electro house, pop dance, tropical house"
Dance,"edm, electro house, pop dance, pop edm, progressive electro house, tropical house"
Dance,"edm, electro house, pop dance, pop edm"
Dance,"edm, electro house, house, moombahton, ninja, pop, pop dance, tropical house"
Dance,"edm, electro house, house"
Dance,"edm, electro house, future house, pop dance, pop edm, progressive electro house, progressive house"
Dance,"edm, electro house, electropop, pop, pop dance, tropical house"
Dance,"edm, electro house, electronic trap, trap, underground hip hop"
Dance,"edm, electro house, electronic trap, electropop, future bass, pop dance, pop edm, vapor twitch"
Dance,edm
Other,"eau claire indie, indie folk, melancholia"
Other,"easy listening, swing"
Other,easy listening
Hip-Hop,"east coast hip hop, hip hop, rap"
Other,"east coast hip hop, hardcore hip hop, hip hop"
Other,"east coast hip hop, hardcore hip hop"
Hip-Hop,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Hip-Hop,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop"
Hip-Hop,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap"
International,"dutch trance, edm, pop dance, progressive house, trance"
International,dutch pop
International,"dutch house, dutch pop"
International,"dutch hip hop, dutch rap pop"
International,dutch hip hop
International,"dutch edm, dutch house, edm, electro house, pop dance, progressive electro house, slap house"
Hip-Hop,"dream smp, viral rap"
Other,dream smp
Dance,"downtempo, electronica"
International,"downtempo, dream pop, indietronica"
International,"dominican pop, pop reggaeton, urbano espanol"
International,"dominican pop, perreo, reggaeton, reggaeton flow, trap latino"
International,"dominican pop, perreo, rap latina, trap latino"
International,"dominican pop, latin pop, pop venezolano, reggaeton, trap latino"
International,"dominican pop, latin hip hop, rap dominicano, reggaeton, reggaeton flow, trap latino"
International,"dominican pop, latin arena pop, latin pop, latin viral pop, reggaeton, spanish pop"
Hip-Hop,"dmv rap, hip hop, rap, trap, underground hip hop"
Hip-Hop,"dmv rap, hip hop, pop, r&b, rap"
Rock,"disco, new wave pop, soft rock"
Other,"disco, funk, jazz funk, quiet storm, soul"
International,"disco, europop"
Other,"disco house, hip house, vocal house"
Other,disco
Hip-Hop,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"dirty south rap, gangster rap, hip hop, memphis hip hop, pop rap, rap, southern hip hop, tennessee hip hop, trap"
Hip-Hop,"dfw rap, melodic rap, rap"
Hip-Hop,"detroit trap, rap, trap"
Hip-Hop,"detroit hip hop, hip hop, rap"
Hip-Hop,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"detroit hip hop, hip hop, pop, pop rap, r&b, rap, southern hip hop, trap"
Hip-Hop,"detroit hip hop, detroit trap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,detroit hip hop
International,"dembow, rap dominicano, reggaeton, trap latino"
International,"dembow, dominican pop, rap dominicano, trap latino"
Hip-Hop,"deep underground hip hop, kentucky hip hop, pop"
International,"deep tropical house, swedish tropical house, tropical house"
Other,"deep talent show, hollywood, movie tunes"
Other,deep talent show
International,"deep german hip hop, german hip hop, hamburg hip hop"
International,"deep german hip hop, german hip hop, german underground rap"
International,"deep german hip hop, german hip hop"
International,"deep german hip hop, german drill, german hip hop, german underground rap"
International,"deep german hip hop, german drill, german hip hop"
Other,"deep adult standards, vocal harmony group"
Hip-Hop,"dark trap, melodic rap, miami hip hop, rap, southern hip hop, trap, underground hip hop, vapor trap, viral rap"
Other,"dark clubbing, destroy techno"
International,"danish pop, pop, scandipop"
International,"dancehall, jamaican hip hop, reggae fusion, traphall"
International,"dancehall, jamaican dancehall, soca"
International,"dancehall, jamaican dancehall, reggae fusion"
International,"dancehall, dancehall queen, rap, uk dancehall, uk hip hop"
International,"dance pop, post-teen pop, tropical house, uk pop"
Dance,"dance pop, pop, viral pop"
Dance,"dance pop, pop, urban contemporary"
Dance,"dance pop, pop, uk pop"
Hip-Hop,"dance pop, pop, rap"
Dance,"dance pop, pop, r&b, urban contemporary"
Dance,"dance pop, pop, r&b, rap, uk contemporary r&b, urban contemporary"
Hip-Hop,"dance pop, pop, r&b, rap"
Dance,"dance pop, pop, r&b"
Dance,"dance pop, pop, post-teen pop, uk pop, viral pop"
Dance,"dance pop, pop, post-teen pop, uk pop"
Dance,"dance pop, pop, post-teen pop, transpop"
Dance,"dance pop, pop, post-teen pop, r&b, rap, uk pop, urban contemporary"
Dance,"dance pop, pop, post-teen pop"
Hip-Hop,"dance pop, pop, pop rap, urban contemporary"
Hip-Hop,"dance pop, pop, pop rap, seattle hip hop"
Hip-Hop,"dance pop, pop, pop rap, post-teen pop"
Hip-Hop,"dance pop, pop, pop rap"
Dance,"dance pop, pop, pop dance, scandipop, tropical house"
Dance,"dance pop, pop, pop dance, post-teen pop, tropical house, uk pop"
Hip-Hop,"dance pop, pop rap"
Dance,"dance pop, pop r&b, post-teen pop, r&b"
Dance,"dance pop, pop"
Hip-Hop,"dance pop, new jersey rap, pop, pop rap, rap, southern hip hop, trap"
Dance,"dance pop, neo mellow, pop, tropical house, uk pop"
Dance,"dance pop, neo mellow, pop, post-teen pop, uk pop"
Dance,"dance pop, neo mellow, pop, post-teen pop, talent show, uk pop"
Rock,"dance pop, neo mellow, pop, pop rock"
Hip-Hop,"dance pop, neo mellow, pop, pop rap, pop rock"
Hip-Hop,"dance pop, miami hip hop, pop, pop rap"
Dance,"dance pop, latin viral pop, pop, rap latina, reggaeton"
Dance,"dance pop, latin pop, mexican pop, puerto rican pop"
Dance,"dance pop, latin pop, mexican pop"
Dance,"dance pop, latin arena pop, latin pop, mexican pop, pop, post-teen pop"
Dance,"dance pop, indietronica, new rave"
Hip-Hop,"dance pop, hyphy, pop rap, rap, southern hip hop, viral rap"
Hip-Hop,"dance pop, hip pop, pop, r&b, southern hip hop, trap, urban contemporary"
Hip-Hop,"dance pop, hip pop, pop, queens hip hop, rap"
Dance,"dance pop, hip pop, pop, post-teen pop, uk pop"
Dance,"dance pop, hip pop, hollywood, neo soul, r&b, uk pop, urban contemporary"
Hip-Hop,"dance pop, hip hop, pop, pop rap, urban contemporary"
Hip-Hop,"dance pop, hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul"
Hip-Hop,"dance pop, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"dance pop, hip hop, pop rap, r&b, rap, southern hip hop, urban contemporary"
Hip-Hop,"dance pop, hip hop, pop rap"
Hip-Hop,"dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Dance,"dance pop, hip hop, hip pop, r&b, urban contemporary"
Hip-Hop,"dance pop, hip hop, hip pop, pop rap, r&b, rap, urban contemporary, virginia hip hop"
Dance,"dance pop, girl group, pop, post-teen pop, talent show, uk pop"
Hip-Hop,"dance pop, gangster rap, hip hop, hip pop, pop rap, r&b, rap, trap, urban contemporary"
Dance,"dance pop, funk carioca, funk pop, pop, pop lgbtq+ brasileira, pop nacional"
Dance,"dance pop, eurodance, hands up, italo dance, pop dance"
Dance,"dance pop, electropop, pop, post-teen pop, uk pop, viral pop"
Dance,"dance pop, electropop, pop, pop dance, post-teen pop, tropical house, uk contemporary r&b, uk pop"
Dance,"dance pop, electropop, pop"
Dance,"dance pop, electropop, metropopolis, pop, uk alternative pop"
Dance,"dance pop, electropop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop, uk pop"
Dance,"dance pop, electropop, europop, swedish electropop, swedish idol pop, swedish pop, uk pop"
Dance,"dance pop, electropop, etherpop, indie poptimism, pop"
Dance,"dance pop, edm, pop, post-teen pop, uk pop"
Dance,"dance pop, edm, pop, post-teen pop"
Dance,"dance pop, edm, pop, pop rap, post-teen pop"
Dance,"dance pop, edm, pop, pop rap"
Dance,"dance pop, edm, pop, pop dance, tropical house, uk dance, uk pop"
Dance,"dance pop, edm, pop, pop dance, tropical house, uk dance"
Dance,"dance pop, edm, pop, pop dance, tropical house"
Dance,"dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk pop"
Dance,"dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk dance, uk funky, uk pop"
Dance,"dance pop, edm, pop, pop dance, pop rap"
Dance,"dance pop, edm, pop, pop dance, pop house, tropical house, uk dance, uk pop"
Dance,"dance pop, edm, miami hip hop, pop, pop rap"
Dance,"dance pop, edm, house, pop, pop dance, tropical house, uk pop"
Dance,"dance pop, edm, house, pop, pop dance, tropical house, uk dance, uk funky, uk pop"
Dance,"dance pop, edm, house, pop dance, tropical house, uk dance, uk pop"
Dance,"dance pop, edm, house, pop dance, tropical house, uk dance"
Dance,"dance pop, edm, german dance, pop dance, slap house, tropical house"
Dance,"dance pop, edm, electropop, pop, pop rap, post-teen pop, tropical house, uk pop"
Dance,"dance pop, edm, electropop, pop, pop rap"
Dance,"dance pop, edm, electropop, pop, pop dance, tropical house, uk pop"
Dance,"dance pop, edm, electropop, pop, pop dance, tropical house"
Dance,"dance pop, edm, electropop, pop, pop dance, post-teen pop, scandipop, swedish electropop, swedish pop, tropical house, uk pop"
Dance,"dance pop, edm, electropop, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electropop, indietronica, metropopolis, pop, uk pop"
Dance,"dance pop, edm, electropop, gauze pop, pop, pop dance, tropical house, uk pop"
Dance,"dance pop, edm, electronic trap, pop, pop dance, pop rap"
Dance,"dance pop, edm, electro house, pop, pop dance, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop house, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, swedish tropical house, tropical house, uk pop"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, slap house, tropical house"
Dance,"dance pop, edm, electro house, pop dance, slap house, tropical house"
Dance,"dance pop, edm, electro house, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, norwegian pop, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Dance,"dance pop, edm, electro house, house, pop, pop dance, pop rap, tropical house, uk dance, uk pop"
Dance,"dance pop, edm, electro house, house, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, german dance, pop, pop dance, tropical house"
Dance,"dance pop, edm, electro house, german dance, pop dance, pop edm, tropical house"
